id,label
0,"10,206"
1,"10,200"
2,"10,11"
3,"0,206"
4,"10,11"
5,"0,8,206"
6,"0,397"
7,"199,200"
8,"11,205"
9,"170,199"
10,"10,205"
11,"83,405"
12,"169,199"
13,"0,409"
14,"40,67"
15,"40,67"
16,"10,11"
17,"200,206"
18,"8,206"
19,"10,67"
20,"10,40"
21,"0,179"
22,"3,206"
23,"169,199"
24,"40,206"
25,"0,40"
26,"199,200"
27,"206,405"
28,"3,18"
29,"206,405"
30,"45,405"
31,"40,206"
32,"45,405"
33,"40,179"
34,"10,220"
35,"3,206"
36,"3,206"
37,"10,11"
38,"3,206"
39,"10,40"
40,"0,179"
41,"3,206"
42,"169,199"
43,"0,206"
44,"11,45"
45,"40,67"
46,"3,200"
47,"10,11"
48,"40,199"
49,"83,405"
50,"0,206"
51,"3,200"
52,"10,67"
53,"11,45"
54,"3,40"
55,"40,206"
56,"10,11"
57,"0,199"
58,"67,145"
59,"8,206"
60,"11,206"
61,"40,524"
62,"0,269"
63,"3,40"
64,"0,206"
65,"10,40"
66,"10,40"
67,"169,199"
68,"10,11"
69,"44,45"
70,"10,11"
71,"405,524"
72,"170,206"
73,"40,67"
74,"10,220"
75,"0,206"
76,"169,199"
77,"0,179"
78,"205,206"
79,"10,220"
80,"10,11"
81,"200,206"
82,"0,12"
83,"8,405"
84,"205,206"
85,"40,206"
86,"200,206"
87,"40,206"
88,"40,67"
89,"3,206"
90,"0,40"
91,"10,220"
92,"0,206"
93,"0,206"
94,"0,40"
95,"10,83"
96,"11,205"
97,"40,67"
98,"10,220"
99,"40,199"
100,"0,179"
101,"10,40"
102,"8,405"
103,"8,206"
104,"0,40"
105,"0,269"
106,"10,45"
107,"0,405"
108,"0,179"
109,"0,8,206"
110,"3,206"
111,"169,199"
112,"0,206"
113,"40,44"
114,"10,145"
115,"169,199"
116,"0,337"
117,"0,405"
118,"40,405"
119,"200,206"
120,"40,206"
121,"0,40"
122,"10,11"
123,"40,200"
124,"3,206"
125,"169,199"
126,"0,206"
127,"40,67"
128,"0,179"
129,"0,498"
130,"0,405"
131,"169,199"
132,"10,405"
133,"40,67"
134,"3,206"
135,"40,67"
136,"0,313"
137,"67,83"
138,"0,199"
139,"8,206"
140,"40,67"
141,"3,206"
142,"199,405"
143,"40,206"
144,"10,11"
145,"0,206"
146,"3,206"
147,"8,405"
148,"10,145"
149,"8,206"
150,"40,199"
151,"169,199"
152,"4,206"
153,"0,269"
154,"10,40"
155,"40,67"
156,"45,405"
157,"10,11"
158,"40,67"
159,"169,170,199"
160,"40,67"
161,"8,206"
162,"0,40"
163,"8,199"
164,"0,498"
165,"169,179"
166,"10,11"
167,"40,206"
168,"11,45"
169,"169,199"
170,"10,405"
171,"40,200"
172,"8,405"
173,"3,4"
174,"170,199"
175,"0,206"
176,"10,405"
177,"0,206"
178,"3,206"
179,"0,179"
180,"199,200"
181,"10,40"
182,"0,10"
183,"3,200"
184,"0,179"
185,"11,205"
186,"0,179"
187,"199,206"
188,"10,40"
189,"179,199"
190,"40,45"
191,"169,199"
192,"169,199"
193,"40,67"
194,"169,199"
195,"169,199"
196,"10,145"
197,"200,206"
198,"0,40"
199,"0,206"
200,"8,206"
201,"11,205"
202,"8,206"
203,"0,206"
204,"170,199"
205,"169,199"
206,"10,11"
207,"40,206"
208,"0,40"
209,"40,524"
210,"10,11"
211,"0,8"
212,"0,265"
213,"0,3"
214,"0,265"
215,"10,11"
216,"3,206"
217,"40,206"
218,"199,200"
219,"10,206"
220,"40,67"
221,"0,179"
222,"0,206"
223,"40,199"
224,"40,206"
225,"40,206"
226,"0,206"
227,"10,11"
228,"3,206"
229,"40,206"
230,"10,67"
231,"0,206"
232,"169,179"
233,"170,200"
234,"83,405"
235,"40,83"
236,"11,44"
237,"170,199"
238,"40,220"
239,"10,11"
240,"0,179"
241,"0,409"
242,"169,199"
243,"10,40"
244,"0,498"
245,"0,40"
246,"10,11"
247,"40,199"
248,"3,200"
249,"0,405"
250,"10,145"
251,"0,220"
252,"0,206"
253,"169,200"
254,"10,67"
255,"40,67"
256,"199,200"
257,"40,206"
258,"8,405"
259,"10,40"
260,"40,206"
261,"0,206"
262,"8,405"
263,"40,200"
264,"40,45"
265,"40,206"
266,"199,206"
267,"40,67"
268,"10,45"
269,"45,206"
270,"40,200"
271,"40,83"
272,"8,405"
273,"40,67"
274,"10,11"
275,"40,524"
276,"40,206"
277,"199,206"
278,"40,206"
279,"40,206"
280,"0,206"
281,"10,220"
282,"0,269"
283,"40,200"
284,"10,40"
285,"0,206"
286,"145,524"
287,"0,405"
288,"10,11"
289,"40,67"
290,"0,179"
291,"11,205"
292,"10,40"
293,"169,199"
294,"0,206"
295,"40,67"
296,"40,206"
297,"40,206"
298,"10,40"
299,"10,45"
300,"8,206"
301,"169,199"
302,"40,67"
303,"199,206"
304,"179,199"
305,"0,265"
306,"10,11"
307,"0,179"
308,"10,67"
309,"169,199"
310,"0,179"
311,"170,200"
312,"200,206"
313,"11,40"
314,"10,11"
315,"0,265"
316,"40,67"
317,"3,200"
318,"40,206"
319,"0,179"
320,"0,206"
321,"11,40"
322,"0,206"
323,"8,405"
324,"40,206"
325,"0,405"
326,"3,4"
327,"135,199"
328,"10,11"
329,"169,179,199"
330,"11,206"
331,"10,11"
332,"0,179"
333,"8,405"
334,"0,179"
335,"200,206"
336,"10,11"
337,"170,199"
338,"199,200"
339,"40,173"
340,"10,40"
341,"8,206"
342,"0,205"
343,"3,206"
344,"0,40"
345,"10,40"
346,"8,405"
347,"40,67"
348,"40,206"
349,"40,83"
350,"10,11"
351,"10,40"
352,"169,199"
353,"40,67"
354,"8,206"
355,"10,11"
356,"40,179"
357,"40,206"
358,"0,498"
359,"40,524"
360,"0,405"
361,"10,67"
362,"3,206"
363,"40,199"
364,"10,40"
365,"0,206"
366,"0,40"
367,"0,179"
368,"10,40"
369,"169,199"
370,"3,4"
371,"11,45"
372,"40,206"
373,"40,405"
374,"0,8,206"
375,"10,11"
376,"170,199"
377,"8,206"
378,"40,206"
379,"10,206"
380,"8,206"
381,"169,199"
382,"169,199"
383,"169,199"
384,"10,11"
385,"10,67"
386,"10,83"
387,"11,40"
388,"0,179"
389,"3,206"
390,"10,67"
391,"10,11"
392,"0,206"
393,"0,10"
394,"0,498"
395,"0,206"
396,"205,206"
397,"199,200"
